concept_sportsteam_arizona_diamond_backs	Arizona Diamond Backs
concept_sportsteam_former_san_francisco_giants	Former San Francisco Giants
concept_visualizablething_jotter	Jotter
52.2166700000000,11.2666700000000	52.2166700000000,11.2666700000000
concept_musicartist_whitesnake	Whitesnake
concept_musicgenre_metal	Metal
concept_mammal_lion	Lion
concept_mammal_fox	Fox
concept_journalist_maureen_dowd	Maureen Dowd
concept_musicartist_times	Times
concept_televisionstation_katu_tv	Katu TV
concept_city_portland	Portland
concept_food_oil	Oil
concept_food_chillies	Chillies
concept_bathroomitem_shower	Shower
concept_officebuildingroom_accommodations	Accommodations
concept_disease_pancreatic_cancer	Pancreatic Cancer
concept_dateliteral_n2007	N2007
concept_sportsteam_new_orleans_hornets	New Orleans Hornets
concept_sportsteam_san_antonio	San Antonio
concept_chemical_carbon	Carbon
concept_chemical_absorbents	Absorbents
concept_person_thomas_watson	Thomas Watson
concept_company_ibm	IBM
concept_drug_ace_inhibitors	Ace Inhibitors
concept_disease_blood_pressure	Blood Pressure
concept_person_american_children	American Children
concept_eventoutcome_result	Result
concept_journalist_thomas_l__friedman	Thomas L Friedman
concept_company_york_times	York Times
concept_chef_jerome_isaac	Jerome Isaac
concept_country_england	England
concept_visualizablescene_beaver_falls	Beaver Falls
concept_stateorprovince_pennsylvania	Pennsylvania
concept_arachnid_ticks	Ticks
concept_arthropod_arthropods	Arthropods
concept_bodypart_system002	System002
concept_braintissue_vagus_nerve	Vagus Nerve
concept_book_the_crossing	The Crossing
concept_writer_cormac_mccarthy	Cormac Mccarthy
concept_musicartist_american	American
concept_city_adelanto	Adelanto
concept_city_everett	Everett
concept_mammal_bear	Bear
concept_mammal_animals	Animals
concept_visualizablething_episodes	Episodes
concept_dateliteral_n2008	N2008
concept_insect_honey_bees	Honey Bees
concept_animal_social_insects	Social Insects
concept_sportsteam_eagles	Eagles
concept_sportsteam_packers	Packers
concept_automobilemaker_ford_transit	Ford Transit
concept_transportation_transit_connect	Transit Connect
concept_room_systems	Systems
concept_hallwayitem_point	Point
concept_agriculturalproduct_pigs	Pigs
concept_mammal_domestic_animals	Domestic Animals
concept_braintissue_manuscript	Manuscript
concept_date_n2000	N2000
concept_stadiumoreventvenue_hershey_centre	Hershey Centre
concept_city_mississauga	Mississauga
concept_person_sarkozy	Sarkozy
concept_politicaloffice_mayor	Mayor
concept_drug_hycamtin	Hycamtin
concept_biotechcompany_glaxosmithkline	Glaxosmithkline
concept_buildingfeature_systems	Systems
concept_visualizablething_water_supply	Water Supply
concept_company_national	National
concept_city_harper_woods	Harper Woods
concept_athlete_chris_sampson	Chris Sampson
concept_sportsteamposition_center	Center
concept_emotion_pain	Pain
concept_disease_ulcerative_colitis	Ulcerative Colitis
concept_governmentorganization_u_s__centers_for_disease_control	US Centers For Disease Control
concept_country_u_s_	US
concept_agriculturalproduct_salt	Salt
concept_geometricshape_bits	Bits
