concept:teamplaysagainstteam	team plays against team
concept:teamplaysagainstteam_reverse	inverse team plays against team
concept:latitudelongitude	latitude longitude
concept:latitudelongitude_reverse	inverse latitude longitude
concept:musicartistgenre	music artist genre
concept:musicartistgenre_reverse	inverse music artist genre
concept:mammalsuchasmammal	mammal such as mammal
concept:mammalsuchasmammal_reverse	inverse mammal such as mammal
concept:worksfor	works for
concept:worksfor_reverse	inverse works for
concept:organizationheadquarteredincity	organization headquartered in city
concept:organizationheadquarteredincity_reverse	inverse organization headquartered in city
concept:agriculturalproductcookedwithagriculturalproduct	agricultural product cooked with agricultural product
concept:agriculturalproductcookedwithagriculturalproduct_reverse	inverse agricultural product cooked with agricultural product
concept:itemfoundinroom	item found in room
concept:itemfoundinroom_reverse	inverse item found in room
concept:atdate	at date
concept:atdate_reverse	inverse at date
concept:chemicalistypeofchemical	chemical is type of chemical
concept:chemicalistypeofchemical_reverse	inverse chemical is type of chemical
concept:topmemberoforganization	top member of organization
concept:topmemberoforganization_reverse	inverse top member of organization
concept:drugpossiblytreatsphysiologicalcondition	drug possibly treats physiological condition
concept:drugpossiblytreatsphysiologicalcondition_reverse	inverse drug possibly treats physiological condition
concept:agentparticipatedinevent	agent participated in event
concept:agentparticipatedinevent_reverse	inverse agent participated in event
concept:persondiedincountry	person died in country
concept:persondiedincountry_reverse	inverse person died in country
concept:proxyfor	proxy for
concept:proxyfor_reverse	inverse proxy for
concept:arthropodandotherarthropod	arthropod and other arthropod
concept:arthropodandotherarthropod_reverse	inverse arthropod and other arthropod
concept:bodypartcontainsbodypart	body part contains body part
concept:bodypartcontainsbodypart_reverse	inverse body part contains body part
concept:bookwriter	book writer
concept:bookwriter_reverse	inverse book writer
concept:agentactsinlocation	agent acts in location
concept:agentactsinlocation_reverse	inverse agent acts in location
concept:animalpreyson	animal prey son
concept:animalpreyson_reverse	inverse animal prey son
concept:animalistypeofanimal	animal is type of animal
concept:animalistypeofanimal_reverse	inverse animal is type of animal
concept:automakerproducesmodel	automaker produces model
concept:automakerproducesmodel_reverse	inverse automaker produces model
concept:subpartof	sub part of
concept:subpartof_reverse	inverse sub part of
concept:stadiumlocatedincity	stadium located in city
concept:stadiumlocatedincity_reverse	inverse stadium located in city
concept:personhasjobposition	person has job position
concept:personhasjobposition_reverse	inverse person has job position
concept:drugworkedonbyagent	drug worked on by agent
concept:drugworkedonbyagent_reverse	inverse drug worked on by agent
concept:hasofficeincity	has office in city
concept:hasofficeincity_reverse	inverse has office in city
concept:athleteflyouttosportsteamposition	athlete fly out to sports team position
concept:athleteflyouttosportsteamposition_reverse	inverse athlete fly out to sports team position
concept:emotionassociatedwithdisease	emotion associated with disease
concept:emotionassociatedwithdisease_reverse	inverse emotion associated with disease
concept:organizationheadquarteredincountry	organization headquartered in country
concept:organizationheadquarteredincountry_reverse	inverse organization headquartered in country
concept:agriculturalproductcutintogeometricshape	agricultural product cut into geometric shape
concept:agriculturalproductcutintogeometricshape_reverse	inverse agricultural product cut into geometric shape
concept:athleteplayssport	athlete plays sport
concept:athleteplayssport_reverse	inverse athlete plays sport
concept:furniturefoundinroom	furniture found in room
concept:furniturefoundinroom_reverse	inverse furniture found in room
concept:agentcontributedtocreativework	agent contributed to creative work
concept:agentcontributedtocreativework_reverse	inverse agent contributed to creative work
concept:agentcreated	agent created
concept:agentcreated_reverse	inverse agent created
concept:mutualproxyfor	mutual proxy for
concept:mutualproxyfor_reverse	inverse mutual proxy for
concept:sportusesequipment	sport uses equipment
concept:sportusesequipment_reverse	inverse sport uses equipment
concept:visualartistartform	visual artist art form
concept:visualartistartform_reverse	inverse visual artist art form
concept:languageofcountry	language of country
concept:languageofcountry_reverse	inverse language of country
concept:politicianusendorsedbypoliticianus	politician us endorsed by politician us
concept:politicianusendorsedbypoliticianus_reverse	inverse politician us endorsed by politician us
concept:personborninlocation	person born in location
concept:personborninlocation_reverse	inverse person born in location
concept:organizationdissolvedatdate	organization dissolved at date
concept:organizationdissolvedatdate_reverse	inverse organization dissolved at date
concept:athleteplaysforteam	athlete plays for team
concept:athleteplaysforteam_reverse	inverse athlete plays for team
concept:athletebeatathlete	athlete beat athlete
concept:athletebeatathlete_reverse	inverse athlete beat athlete
concept:athletehomestadium	athlete home stadium
concept:athletehomestadium_reverse	inverse athlete home stadium
concept:personalsoknownas	person also known as
concept:personalsoknownas_reverse	inverse person also known as
concept:subpartoforganization	sub part of organization
concept:subpartoforganization_reverse	inverse sub part of organization
concept:producesproduct	produces product
concept:producesproduct_reverse	inverse produces product
concept:personbelongstoorganization	person belongs to organization
concept:personbelongstoorganization_reverse	inverse person belongs to organization
concept:bacteriaisthecausativeagentofphysiologicalcondition	bacteria is the causative agent of physiological condition
concept:bacteriaisthecausativeagentofphysiologicalcondition_reverse	inverse bacteria is the causative agent of physiological condition
concept:agentcollaborateswithagent	agent collaborates with agent
concept:agentcollaborateswithagent_reverse	inverse agent collaborates with agent
concept:companyeconomicsector	company economic sector
concept:companyeconomicsector_reverse	inverse company economic sector
concept:televisionstationaffiliatedwith	television station affiliated with
concept:televisionstationaffiliatedwith_reverse	inverse television station affiliated with
concept:athleteplaysinleague	athlete plays in league
concept:athleteplaysinleague_reverse	inverse athlete plays in league
concept:countryalsoknownas	country also known as
concept:countryalsoknownas_reverse	inverse country also known as
concept:synonymfor	synonym for
concept:synonymfor_reverse	inverse synonym for
concept:weaponssuchasweapons	weapons such as weapons
concept:weaponssuchasweapons_reverse	inverse weapons such as weapons
concept:organizationhiredperson	organization hired person
concept:organizationhiredperson_reverse	inverse organization hired person
concept:animaleatfood	animal eat food
concept:animaleatfood_reverse	inverse animal eat food
concept:directordirectedmovie	director directed movie
concept:directordirectedmovie_reverse	inverse director directed movie
concept:leaguestadiums	league stadiums
concept:leaguestadiums_reverse	inverse league stadiums
concept:agentcontrols	agent controls
concept:agentcontrols_reverse	inverse agent controls
concept:cityliesonriver	city lies on river
concept:cityliesonriver_reverse	inverse city lies on river
concept:persondiedatage	person died at age
concept:persondiedatage_reverse	inverse person died at age
concept:musicianinmusicartist	musician in music artist
concept:musicianinmusicartist_reverse	inverse musician in music artist
concept:animalsuchasinvertebrate	animal such as invertebrate
concept:animalsuchasinvertebrate_reverse	inverse animal such as invertebrate
concept:atlocation	at location
concept:atlocation_reverse	inverse at location
concept:academicprogramatuniversity	academic program at university
concept:academicprogramatuniversity_reverse	inverse academic program at university
concept:agriculturalproductincludingagriculturalproduct	agricultural product including agricultural product
concept:agriculturalproductincludingagriculturalproduct_reverse	inverse agricultural product including agricultural product
concept:organizationterminatedperson	organization terminated person
concept:organizationterminatedperson_reverse	inverse organization terminated person
concept:beveragemadefrombeverage	beverage made from beverage
concept:beveragemadefrombeverage_reverse	inverse beverage made from beverage
concept:agentcompeteswithagent	agent competes with agent
concept:agentcompeteswithagent_reverse	inverse agent competes with agent
concept:statelocatedincountry	state located in country
concept:statelocatedincountry_reverse	inverse state located in country
concept:hotelincity	hotel in city
concept:hotelincity_reverse	inverse hotel in city
concept:statehascapital	state has capital
concept:statehascapital_reverse	inverse state has capital
concept:animalsuchasinsect	animal such as insect
concept:animalsuchasinsect_reverse	inverse animal such as insect
concept:bankbankincountry	bank bank in country
concept:bankbankincountry_reverse	inverse bank bank in country
concept:bakedgoodservedwithbeverage	baked good served with beverage
concept:bakedgoodservedwithbeverage_reverse	inverse baked good served with beverage
concept:clothingmadefromplant	clothing made from plant
concept:clothingmadefromplant_reverse	inverse clothing made from plant
concept:haswife	has wife
concept:haswife_reverse	inverse has wife
concept:locationlocatedwithinlocation	location located within location
concept:locationlocatedwithinlocation_reverse	inverse location located within location
concept:parkincity	park in city
concept:parkincity_reverse	inverse park in city
concept:plantincludeplant	plant include plant
concept:plantincludeplant_reverse	inverse plant include plant
concept:teamwontrophy	team won trophy
concept:teamwontrophy_reverse	inverse team won trophy
concept:museumincity	museum in city
concept:museumincity_reverse	inverse museum in city
concept:statelocatedingeopoliticallocation	state located in geopolitical location
concept:statelocatedingeopoliticallocation_reverse	inverse state located in geopolitical location
concept:animaldevelopdisease	animal develop disease
concept:animaldevelopdisease_reverse	inverse animal develop disease
concept:musicgenressuchasmusicgenres	music genres such as music genres
concept:musicgenressuchasmusicgenres_reverse	inverse music genres such as music genres
concept:organizationheadquarteredinstateorprovince	organization headquartered in state or province
concept:organizationheadquarteredinstateorprovince_reverse	inverse organization headquartered in state or province
concept:citylocatedingeopoliticallocation	city located in geopolitical location
concept:citylocatedingeopoliticallocation_reverse	inverse city located in geopolitical location
concept:hasspouse	has spouse
concept:hasspouse_reverse	inverse has spouse
concept:teamplaysinleague	team plays in league
concept:teamplaysinleague_reverse	inverse team plays in league
concept:agentinvolvedwithitem	agent involved with item
concept:agentinvolvedwithitem_reverse	inverse agent involved with item
concept:clothingtogowithclothing	clothing togo with clothing
concept:clothingtogowithclothing_reverse	inverse clothing togo with clothing
concept:agriculturalproducttoattractinsect	agricultural product to attract insect
concept:agriculturalproducttoattractinsect_reverse	inverse agricultural product to attract insect
concept:transportationincity	transportation in city
concept:transportationincity_reverse	inverse transportation in city
concept:professionistypeofprofession	profession is type of profession
concept:professionistypeofprofession_reverse	inverse profession is type of profession
concept:sportschoolincountry	sport school in country
concept:sportschoolincountry_reverse	inverse sport school in country
concept:politicianusholdsoffice	politician us holds office
concept:politicianusholdsoffice_reverse	inverse politician us holds office
concept:persongraduatedschool	person graduated school
concept:persongraduatedschool_reverse	inverse person graduated school
concept:musicianplaysinstrument	musician plays instrument
concept:musicianplaysinstrument_reverse	inverse musician plays instrument
concept:weaponmadeincountry	weapon made in country
concept:weaponmadeincountry_reverse	inverse weapon made in country
concept:drughassideeffect	drug has side effect
concept:drughassideeffect_reverse	inverse drug has side effect
concept:sporthassportsteamposition	sport has sports team position
concept:sporthassportsteamposition_reverse	inverse sport has sports team position
concept:fishservedwithfood	fish served with food
concept:fishservedwithfood_reverse	inverse fish served with food
concept:politicianrepresentslocation	politician represents location
concept:politicianrepresentslocation_reverse	inverse politician represents location
concept:teamplayssport	team plays sport
concept:teamplayssport_reverse	inverse team plays sport
concept:agriculturalproductcomingfromvertebrate	agricultural product coming from vertebrate
concept:agriculturalproductcomingfromvertebrate_reverse	inverse agricultural product coming from vertebrate
concept:buildingfeaturemadefrombuildingmaterial	building feature made from building material
concept:buildingfeaturemadefrombuildingmaterial_reverse	inverse building feature made from building material
concept:headquarteredin	headquartered in
concept:headquarteredin_reverse	inverse headquartered in
concept:citylocatedinstate	city located in state
concept:citylocatedinstate_reverse	inverse city located in state
concept:athleteledsportsteam	athlete led sports team
concept:athleteledsportsteam_reverse	inverse athlete led sports team
concept:academicfieldsuchasacademicfield	academic field such as academic field
concept:academicfieldsuchasacademicfield_reverse	inverse academic field such as academic field
concept:personleadsorganization	person leads organization
